Hemisferio Norte
Nro		IceP		IceG		SeaP		SeaG
0		43.6		-32.0		62.8		6.4
1		40.4		-24.0		54.8		28.8
2		42.0		-32.0		59.6		8.0
3		34.0		-25.6		56.4		24.0
4		43.6		-30.4		62.8		6.4
5		42.0		-25.6		58.0		24.0
6		40.4		-28.8		67.6		9.6
7		35.6		-25.6		62.8		30.4
Hemisferio Sur
Nro		IceP		IceG		SeaP		SeaG
0		46.8		-30.4		69.2		9.6
1		45.2		-22.4		59.6		25.6
2		46.8		-30.4		64.4		11.2
3		45.2		-24.0		61.2		28.8
4		46.8		-30.4		66.0		11.2
5		45.2		-27.2		62.8		27.2
6		45.2		-27.2		62.8		11.2
7		42.0		-24.0		62.8		32.0
